time,content,author_id,novel
2015-05-27 20:00:00,"
They arrived at the desk of the Hotel Duncanand Smithed in, twitchy as flea-drummed squirrels.Her coat was squared and cream, his patent shoeswere little boats you wouldn’t put to sea in.People, not meaning to, write themselves into the soap that your life is, rise or fall in the plot.Seems that they were fleeing from the 1980smuch as a hummingbird flies from a flower’s bell.These were the times when wine was still a treat and not yet considered a common bodily fluid.You will have heard that the mind works muchas an oval of soap turned between two hands.She went round the room seeking lightsthat could be off without desire becoming love.He spread his arms behind his head, a gestureof libido she misread as test of temperature.Every carpet has its weave and underlay, seen only by the maker, the deliverer and the layer.The year was a dog but the day was as good as a song that ends with a wedding, meat on the rib.Evening was folding over the grid, slick walkerswith armfuls of books splendored in dusk’s ask.The song of the pipes was eerie as a face pressedto glass, as a basketball with a mouth and teeth.They lay in the glow of the times and talked ofhow people form a queue to exact or escape love.Each sigh has a sequel, she thought, then he did,then the whole hotel pulsed through that thought.Scandal has an inroad, but you must tunnel out;she rose and stood up counting, all hair and beauty.Though we do not hear them, beneath our own,our shadows’ footsteps clatter, they match our dread.",88,1
2015-05-28 02:00:00,"
Alabanza. Praise the cook with a shaven head and a tattoo on his shoulder that said Oye, a blue-eyed Puerto Rican with people from Fajardo, the harbor of pirates centuries ago. Praise the lighthouse in Fajardo, candle glimmering white to worship the dark saint of the sea. Alabanza. Praise the cook’s yellow Pirates cap worn in the name of Roberto Clemente, his plane that flamed into the ocean loaded with cans for Nicaragua, for all the mouths chewing the ash of earthquakes. Alabanza. Praise the kitchen radio, dial clicked even before the dial on the oven, so that music and Spanish rose before bread. Praise the bread. Alabanza. Praise Manhattan from a hundred and seven flights up, like Atlantis glimpsed through the windows of an ancient aquarium. Praise the great windows where immigrants from the kitchen could squint and almost see their world, hear the chant of nations: Ecuador, México, Republica Dominicana, Haiti, Yemen, Ghana, Bangladesh. Alabanza. Praise the kitchen in the morning, where the gas burned blue on every stove and exhaust fans fired their diminutive propellers, hands cracked eggs with quick thumbs or sliced open cartons to build an altar of cans. Alabanza. Praise the busboy’s music, the chime-chime of his dishes and silverware in the tub. Alabanza. Praise the dish-dog, the dishwasher who worked that morning because another dishwasher could not stop coughing, or because he needed overtime to pile the sacks of rice and beans for a family floating away on some Caribbean island plagued by frogs. Alabanza. Praise the waitress who heard the radio in the kitchen and sang to herself about a man gone. Alabanza. After the thunder wilder than thunder, after the shudder deep in the glass of the great windows, after the radio stopped singing like a tree full of terrified frogs, after night burst the dam of day and flooded the kitchen, for a time the stoves glowed in darkness like the lighthouse in Fajardo, like a cook’s soul. Soul I say, even if the dead cannot tell us about the bristles of God’s beard because God has no face, soul I say, to name the smoke-beings flung in constellations across the night sky of this city and cities to come. Alabanza I say, even if God has no face. Alabanza. When the war began, from Manhattan and Kabul two constellations of smoke rose and drifted to each other, mingling in icy air, and one said with an Afghan tongue: Teach me to dance. We have no music here. And the other said with a Spanish tongue: I will teach you. Music is all we have.",23,1
2015-05-28 10:00:00,"
If the red slayer think he slays, Or if the slain think he is slain, They know not well the subtle ways I keep, and pass, and turn again. Far or forgot to me is near; Shadow and sunlight are the same; The vanished gods to me appear; And one to me are shame and fame. They reckon ill who leave me out; When me they fly, I am the wings; I am the doubter and the doubt, I am the hymn the Brahmin sings. The strong gods pine for my abode, And pine in vain the sacred Seven; But thou, meek lover of the good! Find me, and turn thy back on heaven.",20,1
2015-05-29 15:00:00,"
The most popular “act” in Penn Station is the three black kids in ratty sneakers & T-shirts playing two violins and a cello—Brahms. White men in business suits have already dug into their pockets as they pass and they toss in a dollar or two without stopping. Brown men in work-soiled khakis stand with their mouths open, arms crossed on their bellies as if they themselves have always wanted to attempt those bars. One white boy, three, sits cross-legged in front of his idols—in ecstasy— their slick, dark faces, their thin, wiry arms, who must begin to look like angels! Why does this trembling pull us? A: Beneath the surface we are one. B: Amazing! I did not think that they could speak this tongue.",16,1
2015-05-30 14:00:00,"
Balance is everything, is the only way to hold on. I've weighed the alternatives, the hold as harbor: It isn't safe to let go. But consider the hover, choices made, the moment between later and too late. Hesitation is later, regret too late. You can't keep turning and turning, or expecting to return. This earth is not a wheel, it is a rock that erodes, mountain by mountain. And I have been too soft, like sandstone, but there is a point where I stand without a story, immutable and moved, solid as a breath in winter air. I have seen my death and I know it is my neighbor, my brother, my keeper. In my life I am going to keep trying for the balance, remembering the risks and the value of extremes, and that experience teaches the length of allowable lean; that it is easier — and wiser — to balance a stone as if on one toe though it weigh a hundred pounds than to push it back against the curve of its own world.",67,1
2015-05-30 23:00:00,"
i If a Legend from fell through a Prizm joyriding Mustangs Aethon and Phlegon half of California? spent in engines could raise ocean temps then should we say Clouds began to smoke and made therewith so dry from pastures Corn combusted Folk burnt New deserts aroseii Athos, Taurus Helicon Haemus Parnassus, Eryx Rhodope and its ski trails Mycale, Cithaeron the snowcapped Caucasus All their big game into the cracks of the earth where the glaciers trickled down Jostedalsbreen, Chenega The nymphs’ hair went up Boeotia looked for its Dirce Ephyre for its Pyrene Meander, Eurotas The gold in the Tagus melted the Danube, the Po The Cyclades became one stranding dolphins, seals and cooked on the sands Reconnoitering birds Earth’s every volcano the Moon stunnediii Once the Hummer, Explorer was smited necessarily the car crashed there were still those The bitter father on whose wild grief The metamorphosis His sisters—Phaëthousa wailed so weeping amber For all the restitution paid they were still condemned for mourning It was his cousin Cygnus who shunned company haunting retention ponds intercoastal waterways the sun’s Blazer came into Focus Pyrois, Eous might it ignite If all the fossil fuel in the span of a century by a degree we’ve been here before? Earth flared the green just disappeared Leaves, trees were burned clean Mighty towns roasted Hardwoods turned to ash and islands joined. Timolus, Ida the Muses’ haunt Orpheus’s neighborhood Cynthus, Othrys Mimas, Dindyma Scythia’s cold nights Apennines, Alps. and small fled to Hades Vatnajökull Chimborazo. boiled away Argos for its Amymone The rivers steamed Euphrates, Ganges Nile, Rhine, Rhône the sovereign Tiber. as the sea shrank Bream went belly-up Medusas desiccated asphyxiated. became more so that the Sun had come between them. Escalade, whatnot as explained to the parents the axle smashed who lamented the kid The mother we cannot linger of humanity was complete. Lampetië, et al.— they turned into leafy poplars to this day in amber and in shade by perfect strangers their stupid boy. shied into an “uncouth fowl” stayed out of the sky blackwater swamps cooling his eyes.",96,1
2015-05-31 01:00:00,"
Over treasure and land some texts will say it had Little to do with slavery or the newly Discovered yellow planet Few men watched the glaciers recede From shuttles they had built During the hemorrhage years When they’d gathered all the genes down from the ledges I’ll be a fig or a sycamore tree Or without hands By then doctors and poets Would have found a cure for prayer • Or have you shoved the door shut In the face of the dark? Have you body and light the trap Of retribution doing unto you What it does to others? You protest In the streets and papers and I leave For a faraway land Where with pill and scalpel And a distant reckoning If he should lick his lips Or clench his fist I shall find his second left toe Infected puffy From a bump I’ll lance it and squeeze Out the pus and offer Him an antibiotic I can’t refuse therefore I am • The first time I saw you it was hot I was fed up The second time your wife gave birth to a macerated boy I had nothing to tell you About letting go of the dying In the morning you were gone Had carried your father back to your house His cracked skull I didn’t know that was your wife When I raised my voice To those who were praying From behind the wall to keep it down I was trying to listen to your baby’s heartbeat With a gadget a century old • Anemic From so much loss giving birth If you give blood in the desert you won’t Get it back not your iron pills or magic hat I put your thin Hemoglobin up to the light and called out To the donors Donors If you want to know your blood type And it’s a match You must donate Few came some indifferent to my condition Not having heard of it And willing anyhow • And the world is south The night a bandit with gasoline And I’m your dancing lizard mirth I put my one arm up And bring my one foot down on a hot zinc top The nearest hospital was the dawn She didn’t know her daughter on her back was The entry wound and she the exit She ran a brothel so The officer said Where the rebels came and went And ran into the government boys Her girl’s femur the size of the bullet • He was from the other side rumors Had a bullet through his left arm Or had it bitten off by a camel A camel elephant of the desert never forgets what you are If you aren’t kind to it When I met him his bladder was the size Of a watermelon his prostate a cantaloupe You cannot catheterize A man forever Every hour on the hour his left arm stump Hanging his good arm holding His penis his buttocks in deep squeeze A charge from the rear without spillage This poor murderous thief desperately single- Handedly began slapping his own ass As if he were dashing a stallion in a raid On some unarmed village • The mind in the field The brine in the field Whether I Is a diphthong codependent on What isn’t there to stay in the field The good you act is equal To the good you doubt Most have lost many You are either prosperous Or veteran in the field • A mother offers not necessarily Sells her one-eyed son For an education if you’ll bring him back And stone dust for one With congenital illness And little boy with malaria Same old gas Money mixed with blood Transfusion the doctor’s perfect record broken Nobility of taking A life you Who must walk to and from your house The jeep’s upkeep The donkey-cart ambulance • One boot left behind The one-boot photo I wanted On a book military black the quad a clinic’s Special Forces spun By his dangling heels from The pickup truck rushed To a central town altered combative With two scalp lacerations and blood In his auditory canal I was a lover of loss I tossed The boot in the capital of suffering",132,1
2015-05-31 02:00:00,"
To me myself them and others always then and now that day we was flying through above Atlantic Ocean clouds the plane and the plan O also plain language plano feet or face was in perfect harmonious bolero wavy plena to someplace a few miles away from heaven this gathered from the way the adults poke their eyes out from their natural sockets More here in the United States the actual splendour of big cities disfigures your face even more than imagining its sweetness so much that you can’t taste yourself the way you taste yourself when the sun shines on through your stomach All you knew was that the birds fly with you in them too All you knew was miles of green road eating you One year that comes and another one that splits that’s the way the jingle puts it one December made a print in your mind And the next December the passion and excitement the coconut rice and Eisenhower who was President of the United States used to come to our parties and sit inside the television set and I began to see paths in the wall by way of cracks how would this be interpreted Also the cracks made a perfect bear this must be the Life of skidsofrenos without any breaks I thought I could take a small bike that I had and go exploring through the next apartment after I took the room or the road When I told Mom she said Qué confusión so many questions back in Aguas Buenas the water was clear and here there is no guava They can keep Puerto Rico just give us the guava of independence depending on no bodies tortures dreams of the past or future within the present State no State ever of things She loves that fruit the best Assemblage yourself for the rum- ble on Avenue D against the Sportsman we gonna kick them off the earth yet see them floating down the East River the street was noisy and full of jumping bodies moving somewhere One quiet afternoon the President of one gang fought the President of another gang and the afternoon changed nature with voices of O man git him Roach fought Roach fought One of the presidents was named Roach and he fought and the other guy fought from the middle of the block to the corner and another person who was not part of the tussle kept saying Roach fight Roach fought Roach fight Roach is in it Roach is the one the one is Roach It is Roach do it Roach Roach it is Roach jumped up he threw him down heat sweating glands Roach is out he came out and is into a tumbao with Look Roach Tropical serenity atop hammock and eating Bacalao ala Española and if news of Ponce de Leon reaches here That he is looking for the Fountain of Youth say just be tranquil take a bath you smell like Manhattan sewers if you get drunk don’t bite your eyes You cannot find a plane to go back to that plane The fight kept moving up the avenue and they fought and fought till they went over the horizon We have learned the greatest lesson in geography as we moved along through space at 29 thousand feet eating air going to the next age over or under or beyond What it could have been like Sticking it into her like a root the idea that she can go back and once again feel happy that she can go to big cabaret dancing in Santurce Appreciate the aroma of strangers That is what it says in the Bible the one translated by the maniacs from the land where the Papaya grows to its full size like a basketball In the new landscape you can see the word escape into your roots when they are riding well and it feels hot like you into the center fabricating thru air motions of mountains of motional emotion scribbling it takes a lot of concentration to move your nerves like that Slow up within the jet within the slow propellers of the 50’s Hold up a second there has been a change of space but everything remains the same angles on your life your destiny You do your claves on the paper I will read you your secrets Civilization smells so different within the iron trees Sivilessensation spread yourself out of it listen to the beat abnormalize yourself compa.",117,1
2015-05-31 05:00:00,"
It wasn’t the bright hems of the Lord’s skirts that brushed my face and I opened my eyes to see from a cleft in rock His backside; it’s a wasp perched on my left cheek. I keep my eyes closed and stand perfectly still in the garden till it leaves me alone, not to contemplate how this century ends and the next begins with no one I know having seen God, but to wonder why I get through most days unscathed, though I live in a time when it might be otherwise, and I grow more fatherless each day. For years now I have come to conclusions without my father’s help, discovering on my own what I know, what I don’t know, and seeing how one cancels the other. I've become a scholar of cancellations. Here, I stand among my father’s roses and see that what punctures outnumbers what consoles, the cruel and the tender never make peace, though one climbs, though one descends petal by petal to the hidden ground no one owns. I see that which is taken away by violence or persuasion. The rose announces on earth the kingdom of gravity. A bird cancels it. My eyelids cancel the bird. Anything might cancel my eyes: distance, time, war. My father said, Never take your both eyes off of the world, before he rocked me. All night we waited for the knock that would have signalled, All clear, come now; it would have meant escape; it never came.I didn’t make the world I leave you with, he said, and then, being poor, he left me only this world, in which there is always a family waiting in terror before they’re rended, this world wherein a man might arise, go down, and walk along a path and pause and bow to roses, roses his father raised, and admire them, for one moment unable, thank God, to see in each and every flower the world cancelling itself.",39,1
2015-05-31 09:00:00,"
A clumsy hillock Unmolded like a cake on the meadow In the Laguna Mountains. Tough yellow-green grass growing up to a tree As thick as a tooth. In winter, on the road from San Diego, Thousands of cars crawl up to the snow And their passengers get out to investigate it And then drive, discoursing, back home. And that’s California, Solemnly discharging its responsibilities. Meanwhile we breakfast on pancakes the size of a plate While the console radio goes on the blink. Miss L’Espagnole looks out from her frame on the wall, Completely prepared (though for what it is impossible to say). Her left arm is white and dips into a puddle of fire Or a pile of cotton on fire. And each thing is severe: The house hemmed in by pepper trees and Mexico (This one is white and in Chula Vista), and the paraphernalia Strewn around home: a few magazines summing up politics, A matchbox with a lavender automobile on the cover, And a set of soldiers of several military epochs marching off to war on the raffia rug. Unless, you’ve grown up amidst palm trees (and buildings that are either unbuilt, or hospitals) It’s impossible to appreciate a reasonable tree. I sometimes consider the parrots that live in the zoo And are sold on the street in Tijuana. Colored like national flags, Their heads are always cocked to pick up something behind them. And unless you have lived in a place where the fog Closes in like a face, it is impossible to be (even temporarily) relieved When it lifts to expose the freshly painted trim of the city, and it seems Like a fine day for knowledge: sunlight sleeping on top of the rocks And lots of white clouds scudding by like clean sheets Which, when the air in the bedroom is cold, you pull over your head And let the temperature slowly increase while you breathe. But California has only a coast in common with this.",135,1
